,1,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
0,2,4/30/2023 21:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,29,1008,43,0.78,193
1,3,4/30/2023 21:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,67,p2,28,1008,74,2.06,100
2,4,4/30/2023 21:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,69,p2,29,1009,58,2.06,160
3,5,4/30/2023 21:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,57,p2,29,1009,62,2.06,160
4,6,4/30/2023 21:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,76,p2,29,1008,72,1.45,165
5,7,4/30/2023 21:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,70,p2,27,1008,66,1.95,179
6,8,4/30/2023 21:18:32,TH-16,Ban Mi,Lop Buri,Thailand,64,p2,30,1008,60,2.12,172
7,9,4/30/2023 21:19:03,TH-20,Na Kluea,Chon Buri,Thailand,57,p2,27,1008,75,2.49,216
8,10,4/30/2023 21:19:33,TH-21,Ban Khai,Rayong,Thailand,29,p2,28,1008,87,1.52,227
9,11,4/30/2023 21:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,90,p2,27,1009,65,3.6,180
10,12,4/30/2023 21:20:36,TH-52,Hang Chat,Lampang,Thailand,98,p2,23,1010,88,0.76,235
11,13,4/30/2023 22:15:26,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,28,1008,44,0.55,209
12,14,4/30/2023 22:15:57,TH-11,Bang Phli,Samut Prakan,Thailand,67,p2,28,1009,74,2.57,80
13,15,4/30/2023 22:16:28,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,78,p2,28,1009,63,2.06,90
14,16,4/30/2023 22:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,60,p2,28,1010,88,2.06,90
15,17,4/30/2023 22:17:29,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,80,p2,27,1008,73,0.95,141
16,18,4/30/2023 22:18:00,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,89,p2,27,1008,68,1.97,168
17,19,4/30/2023 22:18:31,TH-16,Ban Mi,Lop Buri,Thailand,68,p2,30,1008,63,2.65,176
18,20,4/30/2023 22:19:02,TH-20,Na Kluea,Chon Buri,Thailand,78,p2,26,1008,75,1.72,187
19,21,4/30/2023 22:19:32,TH-21,Ban Khai,Rayong,Thailand,38,p2,29,1008,86,0.91,205
20,22,4/30/2023 22:20:03,TH-50,Chiang Mai,Chiang Mai,Thailand,95,p2,26,1010,74,4.63,200
21,23,4/30/2023 22:20:33,TH-52,Hang Chat,Lampang,Thailand,101,p2,23,1010,88,0.76,206
22,24,4/30/2023 23:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,28,1008,44,0.3,193
23,25,4/30/2023 23:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,68,p2,28,1010,78,2.57,80
24,26,4/30/2023 23:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,77,p2,28,1010,65,2.06,120
25,27,4/30/2023 23:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,65,p2,28,1010,90,2.06,120
26,28,4/30/2023 23:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,86,p2,27,1008,73,1.3,137
27,29,4/30/2023 23:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,87,p2,27,1008,69,1.62,149
28,30,4/30/2023 23:18:32,TH-16,Ban Mi,Lop Buri,Thailand,68,p2,29,1008,65,2.57,169
29,31,4/30/2023 23:19:04,TH-20,Na Kluea,Chon Buri,Thailand,78,p2,26,1008,75,2.17,194
30,32,4/30/2023 23:19:35,TH-21,Ban Khai,Rayong,Thailand,85,p2,28,1008,66,0.99,177
31,33,4/30/2023 23:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,84,p2,26,1011,69,5.66,220
32,34,4/30/2023 23:20:37,TH-52,Hang Chat,Lampang,Thailand,108,p2,23,1010,89,1.36,205
33,35,5/1/2023 0:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,28,1008,45,1.98,190
34,36,5/1/2023 0:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,78,p2,28,1009,78,1.54,100
35,37,5/1/2023 0:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,78,p2,28,1010,66,1.54,120
36,38,5/1/2023 0:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,65,p2,28,1009,90,1.54,120
37,39,5/1/2023 0:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,94,p2,27,1008,70,1.72,186
38,40,5/1/2023 0:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,87,p2,27,1008,66,1.58,157
39,41,5/1/2023 0:18:33,TH-16,Ban Mi,Lop Buri,Thailand,68,p2,29,1008,65,0.96,160
40,42,5/1/2023 0:19:03,TH-20,Na Kluea,Chon Buri,Thailand,78,p2,26,1008,75,2.13,190
41,43,5/1/2023 0:19:34,TH-21,Ban Khai,Rayong,Thailand,85,p2,28,1008,66,0.62,204
42,44,5/1/2023 0:20:05,TH-50,Chiang Mai,Chiang Mai,Thailand,78,p2,26,1010,69,3.6,220
43,45,5/1/2023 0:20:36,TH-52,Hang Chat,Lampang,Thailand,104,p2,23,1009,88,0.55,1
44,46,5/1/2023 1:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,28,1008,45,0.84,126
45,47,5/1/2023 1:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,71,p2,27,1009,78,1.54,100
46,48,5/1/2023 1:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,78,p2,28,1009,66,0.51,0
47,49,5/1/2023 1:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,72,p2,28,1009,80,0.51,0
48,50,5/1/2023 1:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,94,p2,28,1008,69,1.24,154
49,51,5/1/2023 1:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,108,p2,26,1008,67,1.02,167
50,52,5/1/2023 1:18:33,TH-16,Ban Mi,Lop Buri,Thailand,72,p2,28,1008,65,1.41,195
51,53,5/1/2023 1:19:04,TH-20,Na Kluea,Chon Buri,Thailand,95,p2,26,1008,74,0.51,193
52,54,5/1/2023 1:19:35,TH-21,Ban Khai,Rayong,Thailand,97,p2,28,1008,83,0.45,50
53,55,5/1/2023 1:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,82,p2,24,1010,83,3.6,130
54,56,5/1/2023 1:20:37,TH-52,Hang Chat,Lampang,Thailand,76,p2,23,1009,87,1.16,13
55,57,5/1/2023 2:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,28,1007,46,1.07,126
56,58,5/1/2023 2:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,69,p2,27,1008,78,1.54,150
57,59,5/1/2023 2:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,80,p2,28,1009,68,0.0,0
58,60,5/1/2023 2:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,78,p2,27,1008,93,0.0,0
59,61,5/1/2023 2:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,116,p2,26,1007,70,1.27,157
60,62,5/1/2023 2:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,110,p2,26,1007,68,0.87,200
61,63,5/1/2023 2:18:31,TH-16,Ban Mi,Lop Buri,Thailand,72,p2,28,1007,66,1.06,226
62,64,5/1/2023 2:19:02,TH-20,Na Kluea,Chon Buri,Thailand,89,p2,26,1007,76,0.6,137
63,65,5/1/2023 2:19:33,TH-21,Ban Khai,Rayong,Thailand,91,p2,28,1007,85,1.04,37
64,66,5/1/2023 2:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,84,p2,24,1010,83,2.06,180
65,67,5/1/2023 2:20:34,TH-52,Hang Chat,Lampang,Thailand,86,p2,23,1009,86,0.8,32
